16:25:13.249 [MQTT Call: center] INFO  com.ntu.center.sync.CenterDataReceiver - CHANGJIANG_BOX_ENVIRONMENT 表中的 2 号数据同步失败
16:32:39.378 [main] INFO  com.ntu.center.CenterClientApplication - Starting CenterClientApplication on LAPTOP-6SA701DM with PID 8208 (C:\Users\Lenovo\Desktop\datasync\datasync_center_client\target\classes started by Lenovo in C:\Users\Lenovo\Desktop\datasync)
16:32:39.388 [main] INFO  com.ntu.center.CenterClientApplication - No active profile set, falling back to default profiles: default
16:32:42.614 [main] INFO  org.springframework.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 9999 (http)
16:32:42.633 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-9999"]
16:32:42.634 [main] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
16:32:42.634 [main] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.33]
16:32:42.874 [main] INFO  org.apache.catalina.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
16:32:42.874 [main] INFO  org.springframework.web.context.ContextLoader - Root WebApplicationContext: initialization completed in 3343 ms
16:32:43.695 [main] INFO  org.springframework.scheduling.concurrent.ThreadPoolTaskExecutor - Initializing ExecutorService 'applicationTaskExecutor'
16:32:44.179 [main] INFO  com.ntu.common.client.EMQTTClient - connecting to server: ssl://127.0.0.1:8883
16:32:50.687 [main] INFO  com.ntu.center.CenterClientStart - 中央数据库节点成功连接至MQTT服务器.....
16:32:50.690 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-9999"]
16:32:50.732 [main] INFO  org.springframework.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port(s): 9999 (http) with context path ''
16:32:50.737 [main] INFO  com.ntu.center.CenterClientApplication - Started CenterClientApplication in 12.82 seconds (JVM running for 16.751)
16:32:55.617 [MQTT Call: center] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting...
16:32:55.976 [MQTT Call: center] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Start completed.
16:32:56.164 [MQTT Call: center] INFO  com.ntu.center.sync.processor.Processor2 - ==========数据同步完成===========
16:32:56.223 [MQTT Call: center] INFO  com.ntu.center.sync.CenterDataReceiver - CHANGJIANG_BOX_ENVIRONMENT 表中的 2 号数据同步成功
16:49:34.643 [main] INFO  com.ntu.center.CenterClientApplication - Starting CenterClientApplication on LAPTOP-6SA701DM with PID 8672 (C:\Users\Lenovo\Desktop\datasync\datasync_center_client\target\classes started by Lenovo in C:\Users\Lenovo\Desktop\datasync)
16:49:34.652 [main] INFO  com.ntu.center.CenterClientApplication - No active profile set, falling back to default profiles: default
16:49:39.458 [main] INFO  org.springframework.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 9999 (http)
16:49:39.485 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-9999"]
